sale_date,sale_price,description,sale_id,lot_id,comments,title,grade,seal_grade,seal_type,variant
2020-07-13,204.0,9.6 A++ SEALED PS2 NAMCO 2005 USA,122028,13889,Sony Security Label,XENOSAGA EPISODE II: JENSEITS VON GUT UND BOSE,9.6,A++,SEALED,False
2021-07-11,1320.0,9.8 A++ SEALED GB GT 1998 USA,7261,29145,,ODDWORLD ADVENTURES,9.8,A++,SEALED,False
2020-10-26,180.0,9.6 A+ SEALED SNES NINTENDO 1997 USA,122043,18042,Player's Choice,F-ZERO,9.6,A+,SEALED,False
2019-11-24,516.0,9.4 A SEALED NES FCI 1988 USA,7212,97084,Oval SOQ TM,DR. CHAOS  - CAROLINA COLLECTION,9.4,,SEALED,False
2019-12-22,204.0,9.2 B+ NES KEMCO-SEIKA 1990 USA,121951,17256,Oval SOQ TM,RESCUE: THE EMBASSY MISSION,9.2,B+,,False
2020-06-08,132.0,8.0 CIB NES BRODERBUND 1989 USA,122023,13494,,THE GUARDIAN LEGEND,8.0,CIB,,False
2020-08-31,312.0,9.2 A+ SEALED INTV CBS 1983 EUR,122035,19737,"Blue Box, PAL Version",DONKEY KONG,9.2,A+,SEALED,False
2020-11-16,150.0,9.2 A+ SEALED 2600 STARPATH 1982 USA,122046,15791,,KILLER SATELLITES,9.2,A+,SEALED,False
2020-10-05,576.0,9.0 A+ SEALED 2600 ATARI 1982 USA,122040,11883,1982 Silver Box,E.T. THE EXTRA TERRESTRIAL,9.0,A+,SEALED,False
2021-01-17,1050.0,9.8 A+ SEALED G.CUBE KONAMI 2004 USA,7239,97076,,METAL GEAR SOLID: THE TWIN SNAKES,9.8,A+,SEALED,False
2020-07-10,4920.0,9.2 A+ SEALED NES NINTENDO 1988 USA,7231,93031,"Oval SOQ R, Later Production",SUPER MARIO BROS. 2,9.2,A+,SEALED,False
2019-11-24,336.0,9.4 A+ SEALED NES TRADEWEST 1989 USA,7212,97120,Oval SOQ TM,JOHN ELWAY'S QUARTERBACK  - CAROLINA COLLECTION,9.4,A+,SEALED,False
2020-09-13,288.0,9.4 NS GLUE SEAL C.VIS COLECO 1982 USA,7234,97052,,COSMIC AVENGER,9.4,,GLUE SEAL,False
2019-03-10,74.0,DUCKTALES,121910,12276,"NES, Capcom, 1989, Complete in Box",DUCKTALES,7.0,CIB,,False
2020-12-21,132.0,6.0 CIB NES NINTENDO 1985 USA,122051,16090,"Hangtab, 1 Code",TENNIS,6.0,CIB,,False
2021-08-17,144.0,7.5 CIB NES NINTENDO 1985 CAN,312133,68041,"No Rev-A, Double Round SOQ, Canadian Edition",KUNG FU,7.5,CIB,,False
2021-01-25,104.0,9.2 A++ SEALED 2600 ATARI 1983 USA,122104,17910,1988 Red box,GRAVITAR,9.2,A++,SEALED,False
